kernel,mode,size,cycles,INDRD,INDWR,INDRMW,STRRD,RANGE,ALUS,ALUV,INV,IDLE,Total,IND_Fill,IND_Drain,IND_Build,IND_Request,Avg-SPD-Latency,L1-SPD-Hits,L1-SPD-Misses,M1-SPD-Hits,M1-SPD-Misses,L2-SPD-Hits,L2-SPD-Misses,M2-SPD-Hits,M2-SPD-Misses,L3-SPD-Hits,L3-SPD-Misses,M3-SPD-Hits,M3-SPD-Misses,Avg-6-Latency,L1-6-Hits,L1-6-Misses,M1-6-Hits,M1-6-Misses,L2-6-Hits,L2-6-Misses,M2-6-Hits,M2-6-Misses,L3-6-Hits,L3-6-Misses,M3-6-Hits,M3-6-Misses,Avg-7-Latency,L1-7-Hits,L1-7-Misses,M1-7-Hits,M1-7-Misses,L2-7-Hits,L2-7-Misses,M2-7-Hits,M2-7-Misses,L3-7-Hits,L3-7-Misses,M3-7-Hits,M3-7-Misses,Avg-8-Latency,L1-8-Hits,L1-8-Misses,M1-8-Hits,M1-8-Misses,L2-8-Hits,L2-8-Misses,M2-8-Hits,M2-8-Misses,L3-8-Hits,L3-8-Misses,M3-8-Hits,M3-8-Misses,Avg-9-Latency,L1-9-Hits,L1-9-Misses,M1-9-Hits,M1-9-Misses,L2-9-Hits,L2-9-Misses,M2-9-Hits,M2-9-Misses,L3-9-Hits,L3-9-Misses,M3-9-Hits,M3-9-Misses,Avg-10-Latency,L1-10-Hits,L1-10-Misses,M1-10-Hits,M1-10-Misses,L2-10-Hits,L2-10-Misses,M2-10-Hits,M2-10-Misses,L3-10-Hits,L3-10-Misses,M3-10-Hits,M3-10-Misses,Avg-11-Latency,L1-11-Hits,L1-11-Misses,M1-11-Hits,M1-11-Misses,L2-11-Hits,L2-11-Misses,M2-11-Hits,M2-11-Misses,L3-11-Hits,L3-11-Misses,M3-11-Hits,M3-11-Misses,Avg-12-Latency,L1-12-Hits,L1-12-Misses,M1-12-Hits,M1-12-Misses,L2-12-Hits,L2-12-Misses,M2-12-Hits,M2-12-Misses,L3-12-Hits,L3-12-Misses,M3-12-Hits,M3-12-Misses,Avg-13-Latency,L1-13-Hits,L1-13-Misses,M1-13-Hits,M1-13-Misses,L2-13-Hits,L2-13-Misses,M2-13-Hits,M2-13-Misses,L3-13-Hits,L3-13-Misses,M3-13-Hits,M3-13-Misses,Avg-14-Latency,L1-14-Hits,L1-14-Misses,M1-14-Hits,M1-14-Misses,L2-14-Hits,L2-14-Misses,M2-14-Hits,M2-14-Misses,L3-14-Hits,L3-14-Misses,M3-14-Hits,M3-14-Misses,Avg-15-Latency,L1-15-Hits,L1-15-Misses,M1-15-Hits,M1-15-Misses,L2-15-Hits,L2-15-Misses,M2-15-Hits,M2-15-Misses,L3-15-Hits,L3-15-Misses,M3-15-Hits,M3-15-Misses,Avg-16-Latency,L1-16-Hits,L1-16-Misses,M1-16-Hits,M1-16-Misses,L2-16-Hits,L2-16-Misses,M2-16-Hits,M2-16-Misses,L3-16-Hits,L3-16-Misses,M3-16-Hits,M3-16-Misses,Avg-T-Latency,L1-T-Hits,L1-T-Misses,M1-T-Hits,M1-T-Misses,L2-T-Hits,L2-T-Misses,M2-T-Hits,M2-T-Misses,L3-T-Hits,L3-T-Misses,M3-T-Hits,M3-T-Misses,LDFP,STFP,VFP,SFP,SINT,VINT,LDINT,STINT,VEC,Total,LSQ-LD-OCC,DRAM-RD,DRAM-WR,DRAM-ACT,DRAM-RD-BW,DRAM-WR-BW,DRAM-total-BW,DRAM-RB-hitrate,DRAM-CTRL-occ,DRAM-PRE-STB-energy,DRAM-ACT-STB-energy,DRAM-ACTPRE-energy,DRAM-RD-energy,DRAM-WR-energy,DRAM-DQ-energy,DRAM-Total-energy,CORE-ST-Power,CORE-DY-Power,CORE-Power,LLC-ST-Power,LLC-DY-Power,LLC-Power,CORE-ST-Energy,CORE-DY-Energy,CORE-Energy,LLC-ST-Energy,LLC-DY-Energy,LLC-Energy,
BFS,DMP,22,1409939910.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.075957,1526673,70541,3,70538,4947,65590,0,65590,79,65498,0,65498,37.070624,1205192,1980727,866376,1114351,979948,134403,5201,129202,3529,125673,0,125673,53.607638,25668499,10775519,9523232,1252287,915316,336971,65893,271078,800,270278,0,270278,115.154877,3506999,33400368,204666,33195702,14644574,18551033,7917175,10633858,5132752,5493073,507,5492566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.726718,181088617,45091716,10850410,34241306,15922002,18281954,7331192,10950762,5050736,5891716,549,5891167,2098728,2099311,0,610,2263147612,0,857519422,12592843,0,3138018159,19.343280120875296,115294045,3659550,104773249,15.571915517813087,0.4942684024418858,16.06618392025497,11.920905795238895,6.3020179249999995,34.07691006375,447.66694540425004,415.57600764,320.9786212799999,8.6072616,203.64855464,1430.5543006279997,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA,22,696428870.0,626941696,46031823,0,8228016,9931267,488948295,0,0,23432747,1180081097,11531482,0,0,661442037,5.909606,37119592,561572,274211,287361,0,0,0,287361,0,0,0,287361,5.383149,464879,66137,6,66131,53483,12648,9190,3458,368,2719,3,2716,37.249205,33929,4038,1915,2123,3,2120,0,2120,10,2110,0,2110,46.649339,59367,7579,5289,2290,3,2287,0,2287,7,2280,0,2280,170.057234,38127,61244,1018,60226,386,59839,0,59839,13605,45304,0,45304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.249322,130323663,1216309,681853,534456,150466,92619,9112,378902,14896,53347,19,348723,2098730,2099321,0,603,6167128795,0,501449197,4718941,0,6678103620,4.518527697244219,121408343,3669791,67666503,33.19766455182324,1.003460615497404,34.20112516732064,45.90061361164854,28.0867195,22.06816090875,214.06947468825004,268.83862308,338.000826912,8.631348432,214.133765408,1065.742199429,0,0,0,0,0,0,0,0,0,0,0,0,
PR,DMP,22,730809164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.780734,2093479,6053,264,5789,5696,93,0,93,28,65,0,65,147.664563,75757,35597730,8255,35589475,13934062,21655413,12693362,8962051,5034376,3927514,778,3926736,0,1042018,6558,0,6558,5489,1069,0,1069,15,1054,0,1054,8.251951,34882548,25575,25459,116,19,97,0,97,0,97,0,97,9.333929,2094059,3455,12,3443,3367,74,0,74,9,65,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.456281,46854562,36443357,819022,35624335,13954253,21670149,12704880,8965269,5035948,3929121,754,3928367,138412627,12583615,0,8390491,1067559424,0,168359320,2143,0,1613412018,29.57545083650471,72060072,887694,69507459,18.77701157833395,0.23131035056442323,19.008321928898376,4.7161238632037055,9.464601515,22.612771936875,225.37111927162502,275.74000644,200.615240448,2.087856288,124.88657539199998,851.3135697765,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA,22,645160613.0,625246948,0,11869559,555447106,8411590,0,0,0,7454930,1200975203,13854805,0,0,623261702,0,0,0,0,0,0,0,0,0,0,0,0,0,191.341085,0,129,1,128,0,128,0,128,97,31,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046850,1726,286,1440,4,1069,1,1068,43,1025,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,6.041249,2101677,1877,834,1043,0,73,0,73,2,25,0,25,5.073815,1054449,531,464,67,0,67,0,67,42,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.988531,9716514,138306,133089,5217,582,3209,4,3205,791,2268,12,2256,8389773,12583617,0,16779097,93118088,0,17775885,124157,0,220075213,1.2567960407533403,137553344,1179964,64439026,40.6012190473701,0.3482865297117823,40.94950557708189,53.55187090327292,29.7830906,20.997984530625,197.56388554687504,255.88569096,382.948509696,2.775275328,237.511423296,1097.6827693575,0,0,0,0,0,0,0,0,0,0,0,0,
BC,DMP,20,962850867.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.344821,826096,33578,1642,31936,3873,28063,0,28063,9329,18709,72,18637,12.891689,13671090,1638517,1069251,569266,480445,88821,5927,82894,16027,66867,3,66864,24.419984,17279236,3518267,2741239,777028,222280,554748,16466,538282,3234,535049,1,535048,13.132486,14261011,807414,282157,525257,1405,523858,0,523858,85743,437586,2,437584,19.991405,7349619,6373377,315234,6058143,3776875,2281281,406698,1874583,1750049,121103,13,121090,50.343635,804802,3684986,78723,3606263,1412073,2194101,422895,1771206,1537760,186273,12,186261,20.574357,837267,438748,148956,289792,255876,26138,978,25160,6099,18687,1,18686,30.810317,4437204,8318410,28244,8290166,5580601,2709566,985458,1724108,1608508,104879,23,104856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.434294,140940601,23836821,4511765,19325056,9929137,9386300,1541425,7844875,6213625,1500188,152,1500036,37104657,5245678,0,61524796,1486219893,0,406973849,30891504,0,2093560973,6.657271582105523,22172323,4293426,22266621,4.385185178183391,0.8491427830465578,5.2343279612299485,15.86627304596594,1.103275,7.249083519375,327.291587554125,88.37076636,61.727747232,10.098137952,45.309362287999996,540.0466849055,0,0,0,0,0,0,0,0,0,0,0,0,
BC,MAA,20,630381986.0,177022418,4091385,44418149,3933633,10227928,54634816,0,0,404310334,294328329,9356358,0,0,216175594,8.442748,52333441,1250698,749486,501212,0,0,0,501212,0,0,0,501212,5.820951,119447,16433,14,16419,14639,1780,951,829,112,578,0,578,41.202944,83109,11936,7639,4297,5,4292,0,4292,558,3734,0,3734,29.925705,160846,19936,14626,5310,8,5302,0,5302,55,5247,0,5247,23.31662,12022236,3355490,2839909,515581,66268,449332,12731,436601,188380,222118,3,222115,51.250894,4008919,4102701,532627,3570074,116551,3453523,2308,3451215,3068347,380975,53,380922,49.463011,4150366,3694492,357960,3336532,99959,3186604,4152,3182452,2716194,388365,69,388296,25.65069,5310573,393854,204538,189316,252,173958,0,173958,16196,156990,0,156990,79.376308,146914,79077,604,78473,12630,65843,4790,61053,42305,16306,2,16304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.541645,107534138,13065836,4808915,8256921,314845,7383451,12347,7865311,6081422,1178060,114,1672153,44393100,19856545,0,53145262,1256146705,0,245494994,10070394,0,1673770562,7.606857504133423,42727555,6258551,19330253,12.90743699238152,1.8906266154500617,14.798063607831581,60.53931496412473,10.64833735,6.3168528,212.16334520100003,76.89260268,118.95351311999998,14.720111952,83.864213472,512.910639225,0,0,0,0,0,0,0,0,0,0,0,0,
IS,DMP,b,1189160085.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.684836,13941298,9651974,620560,9031414,7642237,819128,516802,302326,154688,147639,0,147639,217.358795,66069,196078,196077,1,0,1,0,1,0,1,0,1,158.436569,69080,193066,193065,1,0,1,0,1,0,1,0,1,152.560715,69040,193106,193105,1,0,1,0,1,0,1,0,1,5.122765,8386208,2557,2556,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.958523,18262712,14507531,1204338,13303193,410332,8050857,516802,8050857,4799911,3250919,1,3250919,6291827,7340686,0,147,384403429,0,76509378,41945286,0,519637447,5.4282511882495745,13906301,11336316,23376740,2.226932575801208,1.8153793298431014,4.0423119056443095,7.391773206399321,0.47929287,7.61682843,406.01792529900007,92.8234392,38.715141984,26.663015232,43.215360304,615.0517104490001,0,0,0,0,0,0,0,0,0,0,0,0,
IS,MAA,b,383612766.0,0,0,350849309,345950610,0,0,0,0,32759539,696799919,3991001,0,0,346858308,0,0,0,0,0,0,0,0,0,0,0,0,0,39.202832,6261418,554533,423450,131083,102876,28207,28197,10,0,10,0,10,127.571136,138517,123630,123605,25,5,20,16,4,0,4,0,4,117.724125,123041,139103,139089,14,0,14,11,3,0,3,0,3,107.730328,125076,137070,137056,14,1,13,9,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.901953,7126996,886134,754903,131231,100405,30829,28639,2190,44,2115,3,2112,6291829,7340686,0,147,83310121,0,9496952,8407288,0,117993741,5.34652042155785,35774843,33238779,26504973,17.759079531462625,16.50014564116214,34.25922517262477,61.59457766178393,30.197048199999998,8.63084608875,122.66297471325001,105.20604108,99.59716291199999,78.177608208,118.151320864,532.425953866,0,0,0,0,0,0,0,0,0,0,0,0,
CG,DMP,c,306740381.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.543749,45589525,45014,45003,11,1,10,0,10,8,2,0,2,7.326413,448293,42226,20198,22028,19562,2466,0,2466,2465,1,0,1,9.284443,24504146,110702,110692,10,0,10,0,10,8,2,0,2,38.553194,1704160,34709150,395576,34313574,17997676,16302852,9676244,6626608,4417203,0,0,0,23.18338,244768,74003,48593,25410,16724,8686,0,8686,30,2244,0,2244,38.353155,542429,8706350,117976,8588374,4480783,4107587,2502092,1605495,1060222,2250,0,2250,8.594171,293592,25166,10179,14987,4667,5800,0,5800,54,4,0,4,11.795861,83610,10146,10137,9,0,5,0,5,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.736959,75319178,43855287,816717,43038570,22561872,20464622,12165226,8299396,5518041,5064,9,5055,274620523,2062785,0,361923356,867762787,0,186731568,2478496,0,2426684436,29.68532305706195,22845455,149236,911625,14.182886432891868,0.09264850447054132,14.275534937362409,96.0354979329794,1.12806988,0.32977324875,106.93314704325002,3.8620758,63.601746719999994,0.3510030719999999,39.366910992,214.444656876,0,0,0,0,0,0,0,0,0,0,0,0,
CG,MAA,c,175709320.0,117165955,0,25286418,152133223,11371059,0,90582553,0,20878699,396539208,47038269,0,0,95414104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.734375,18,59,0,59,0,59,0,59,20,39,2,37,0,2,2,0,2,0,2,0,2,0,2,0,2,27.400252,301270,332392,209288,123104,46286,67469,1155,66314,3356,31,0,31,47.377856,24015,201226,88870,112356,19034,93321,18446,74875,9386,4649,9,4640,14.614314,102475,122716,56302,66414,18706,41566,29,41537,15,4638,0,4638,24.697198,342035,240709,129437,111272,42352,59160,9141,50019,48,37,4,33,26.400525,56214,37557,28174,9383,4869,4511,4500,11,3,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.564603,898110,893123,482666,410457,134513,231685,33904,197781,11694,227,23,204,3151696,1613942,0,677636,41093739,0,3286547,232679,0,58685921,1.5962699093737827,22814677,144596,304927,24.726081159769702,0.15671019280168025,24.88279135257138,98.67187867838847,16.30283735,0.114594226875,61.354326482625005,1.32355092,63.516060767999996,0.34008979199999995,39.306275376,165.9548975655,0,0,0,0,0,0,0,0,0,0,0,0,
