kernel,mode,size,cycles,INDRD,INDWR,INDRMW,STRRD,RANGE,ALUS,ALUV,INV,IDLE,Total,IND_Fill,IND_Drain,IND_Build,IND_Request,Avg-SPD-Latency,L1-SPD-Hits,L1-SPD-Misses,M1-SPD-Hits,M1-SPD-Misses,L2-SPD-Hits,L2-SPD-Misses,M2-SPD-Hits,M2-SPD-Misses,L3-SPD-Hits,L3-SPD-Misses,M3-SPD-Hits,M3-SPD-Misses,Avg-6-Latency,L1-6-Hits,L1-6-Misses,M1-6-Hits,M1-6-Misses,L2-6-Hits,L2-6-Misses,M2-6-Hits,M2-6-Misses,L3-6-Hits,L3-6-Misses,M3-6-Hits,M3-6-Misses,Avg-7-Latency,L1-7-Hits,L1-7-Misses,M1-7-Hits,M1-7-Misses,L2-7-Hits,L2-7-Misses,M2-7-Hits,M2-7-Misses,L3-7-Hits,L3-7-Misses,M3-7-Hits,M3-7-Misses,Avg-8-Latency,L1-8-Hits,L1-8-Misses,M1-8-Hits,M1-8-Misses,L2-8-Hits,L2-8-Misses,M2-8-Hits,M2-8-Misses,L3-8-Hits,L3-8-Misses,M3-8-Hits,M3-8-Misses,Avg-9-Latency,L1-9-Hits,L1-9-Misses,M1-9-Hits,M1-9-Misses,L2-9-Hits,L2-9-Misses,M2-9-Hits,M2-9-Misses,L3-9-Hits,L3-9-Misses,M3-9-Hits,M3-9-Misses,Avg-10-Latency,L1-10-Hits,L1-10-Misses,M1-10-Hits,M1-10-Misses,L2-10-Hits,L2-10-Misses,M2-10-Hits,M2-10-Misses,L3-10-Hits,L3-10-Misses,M3-10-Hits,M3-10-Misses,Avg-11-Latency,L1-11-Hits,L1-11-Misses,M1-11-Hits,M1-11-Misses,L2-11-Hits,L2-11-Misses,M2-11-Hits,M2-11-Misses,L3-11-Hits,L3-11-Misses,M3-11-Hits,M3-11-Misses,Avg-12-Latency,L1-12-Hits,L1-12-Misses,M1-12-Hits,M1-12-Misses,L2-12-Hits,L2-12-Misses,M2-12-Hits,M2-12-Misses,L3-12-Hits,L3-12-Misses,M3-12-Hits,M3-12-Misses,Avg-13-Latency,L1-13-Hits,L1-13-Misses,M1-13-Hits,M1-13-Misses,L2-13-Hits,L2-13-Misses,M2-13-Hits,M2-13-Misses,L3-13-Hits,L3-13-Misses,M3-13-Hits,M3-13-Misses,Avg-14-Latency,L1-14-Hits,L1-14-Misses,M1-14-Hits,M1-14-Misses,L2-14-Hits,L2-14-Misses,M2-14-Hits,M2-14-Misses,L3-14-Hits,L3-14-Misses,M3-14-Hits,M3-14-Misses,Avg-15-Latency,L1-15-Hits,L1-15-Misses,M1-15-Hits,M1-15-Misses,L2-15-Hits,L2-15-Misses,M2-15-Hits,M2-15-Misses,L3-15-Hits,L3-15-Misses,M3-15-Hits,M3-15-Misses,Avg-16-Latency,L1-16-Hits,L1-16-Misses,M1-16-Hits,M1-16-Misses,L2-16-Hits,L2-16-Misses,M2-16-Hits,M2-16-Misses,L3-16-Hits,L3-16-Misses,M3-16-Hits,M3-16-Misses,Avg-T-Latency,L1-T-Hits,L1-T-Misses,M1-T-Hits,M1-T-Misses,L2-T-Hits,L2-T-Misses,M2-T-Hits,M2-T-Misses,L3-T-Hits,L3-T-Misses,M3-T-Hits,M3-T-Misses,LDFP,STFP,VFP,SFP,SINT,VINT,LDINT,STINT,VEC,Total,LSQ-LD-OCC,DRAM-RD,DRAM-WR,DRAM-ACT,DRAM-RD-BW,DRAM-WR-BW,DRAM-total-BW,DRAM-RB-hitrate,DRAM-CTRL-occ,DRAM-PRE-STB-energy,DRAM-ACT-STB-energy,DRAM-ACTPRE-energy,DRAM-RD-energy,DRAM-WR-energy,DRAM-DQ-energy,DRAM-Total-energy,CORE-ST-Power,CORE-DY-Power,CORE-Power,LLC-ST-Power,LLC-DY-Power,LLC-Power,CORE-ST-Energy,CORE-DY-Energy,CORE-Energy,LLC-ST-Energy,LLC-DY-Energy,LLC-Energy,
BFS,BASE,22,1989023612.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.074074,1543851,70600,1,70599,64341,6257,3081,3176,254,2864,0,2864,187.822663,1110776,2111637,997635,1114002,387,1113615,0,1113615,18618,1094997,0,1094997,75.980109,27359797,9196348,7845936,1350412,177,1350235,2,1350233,5860,1344373,0,1344373,189.543562,3485574,33653612,460238,33193374,329102,32864261,0,32864261,13565949,19254560,876,19253684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.482353,183230994,43809298,9505135,34304163,446861,33856499,3398,33853101,12988245,20820928,878,20820050,2098740,2099323,0,610,2263154100,0,857517888,12592859,0,3138043299,21.385293354358474,125147193,3686318,96781402,11.981658597456425,0.35293003941093887,12.334588636867364,24.878704889134013,3.2453399899999997,31.4554001925,653.9112269325,383.71258392,348.409785312,8.670219936,220.56297083199996,1646.722187125,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA,22,696428870.0,626941696,46031823,0,8228016,9931267,488948295,0,0,23432747,1180081097,11531482,0,0,661442037,5.909606,37119592,561572,274211,287361,0,0,0,287361,0,0,0,287361,5.383149,464879,66137,6,66131,53483,12648,9190,3458,368,2719,3,2716,37.249205,33929,4038,1915,2123,3,2120,0,2120,10,2110,0,2110,46.649339,59367,7579,5289,2290,3,2287,0,2287,7,2280,0,2280,170.057234,38127,61244,1018,60226,386,59839,0,59839,13605,45304,0,45304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.249322,130323663,1216309,681853,534456,150466,92619,9112,378902,14896,53347,19,348723,2098730,2099321,0,603,6167128795,0,501449197,4718941,0,6678103620,4.518527697244219,121408343,3669791,67666503,33.19766455182324,1.003460615497404,34.20112516732064,45.90061361164854,28.0867195,22.06816090875,214.06947468825004,268.83862308,338.000826912,8.631348432,214.133765408,1065.742199429,0,0,0,0,0,0,0,0,0,0,0,0,
PR,BASE,22,801338996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.228798,2093507,6040,261,5779,5690,89,0,89,24,65,0,65,209.432331,74028,35611365,10392,35600973,454051,35146922,0,35146922,19737497,15408857,2239,15406618,0,1041984,6592,0,6592,5508,1078,0,1078,13,1064,0,1064,10.098502,34928828,1839,1649,190,88,102,0,102,0,102,0,102,8.777776,2094259,3273,26,3247,3163,77,0,77,11,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.546301,47401495,35926860,322311,35604549,477103,35127391,0,35127391,19732850,15393897,2290,15391607,138412627,12583615,0,8390491,1064388087,0,168071017,2142,0,1609952376,37.307988177828356,72077864,896715,69661291,17.12858144990013,0.21309532583883442,17.341676775738964,4.540331777727687,6.704512355,22.65069688875,250.00965781725003,276.26058516,200.664773376,2.10907368,124.932479248,876.6272661700001,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA,22,645160613.0,625246948,0,11869559,555447106,8411590,0,0,0,7454930,1200975203,13854805,0,0,623261702,0,0,0,0,0,0,0,0,0,0,0,0,0,191.341085,0,129,1,128,0,128,0,128,97,31,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046850,1726,286,1440,4,1069,1,1068,43,1025,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,6.041249,2101677,1877,834,1043,0,73,0,73,2,25,0,25,5.073815,1054449,531,464,67,0,67,0,67,42,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.988531,9716514,138306,133089,5217,582,3209,4,3205,791,2268,12,2256,8389773,12583617,0,16779097,93118088,0,17775885,124157,0,220075213,1.2567960407533403,137553344,1179964,64439026,40.6012190473701,0.3482865297117823,40.94950557708189,53.55187090327292,29.7830906,20.997984530625,197.56388554687504,255.88569096,382.948509696,2.775275328,237.511423296,1097.6827693575,0,0,0,0,0,0,0,0,0,0,0,0,
BC,BASE,20,1409804594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.803096,810369,29554,844,28710,18280,10430,818,9612,8155,1413,45,1368,40.688983,13039895,1980980,1420416,560564,1998,558566,0,558566,104447,454119,3,454116,31.614938,17166033,2937094,2168201,768893,149,768744,0,768744,10632,758112,0,758112,12.246818,14223418,743392,227112,516280,54767,461514,11477,450037,86780,362640,3,362637,54.208379,6683613,6352974,484273,5868701,134705,5734008,2595,5731413,4502008,1122071,60,1122011,84.302941,632617,3668153,170786,3497367,92838,3404403,2912,3401491,2896849,421277,54,421223,57.723953,856765,390355,42447,347908,1875,277053,0,277053,70726,201368,3,201365,56.161987,4479117,8185329,42182,8143147,281670,7861478,4904,7856574,7225598,566050,44,566006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.779668,144806841,24354728,4627816,19726912,583921,19080040,11438,19068602,14913796,3885498,195,3885303,37104671,5245688,0,61524813,1489350588,0,407259743,30891543,0,2096965847,7.180054501889751,26289378,5709696,23039501,3.551053012748858,0.7712405056780005,4.322293518426859,27.9994758598327,0.7808787825,7.492253833125,483.42434518837507,91.37563836,73.189628352,13.429204992,54.782414687999996,723.6934854135001,0,0,0,0,0,0,0,0,0,0,0,0,
BC,MAA,20,630381986.0,177022418,4091385,44418149,3933633,10227928,54634816,0,0,404310334,294328329,9356358,0,0,216175594,8.442748,52333441,1250698,749486,501212,0,0,0,501212,0,0,0,501212,5.820951,119447,16433,14,16419,14639,1780,951,829,112,578,0,578,41.202944,83109,11936,7639,4297,5,4292,0,4292,558,3734,0,3734,29.925705,160846,19936,14626,5310,8,5302,0,5302,55,5247,0,5247,23.31662,12022236,3355490,2839909,515581,66268,449332,12731,436601,188380,222118,3,222115,51.250894,4008919,4102701,532627,3570074,116551,3453523,2308,3451215,3068347,380975,53,380922,49.463011,4150366,3694492,357960,3336532,99959,3186604,4152,3182452,2716194,388365,69,388296,25.65069,5310573,393854,204538,189316,252,173958,0,173958,16196,156990,0,156990,79.376308,146914,79077,604,78473,12630,65843,4790,61053,42305,16306,2,16304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.541645,107534138,13065836,4808915,8256921,314845,7383451,12347,7865311,6081422,1178060,114,1672153,44393100,19856545,0,53145262,1256146705,0,245494994,10070394,0,1673770562,7.606857504133423,42727555,6258551,19330253,12.90743699238152,1.8906266154500617,14.798063607831581,60.53931496412473,10.64833735,6.3168528,212.16334520100003,76.89260268,118.95351311999998,14.720111952,83.864213472,512.910639225,0,0,0,0,0,0,0,0,0,0,0,0,
IS,BASE,b,1300988954.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.413767,10635782,12957535,453085,12504450,515108,7946198,26392,7919806,4043027,3876779,0,3876779,138.90517,136413,125735,125734,1,0,1,0,1,1,0,0,0,124.471455,110495,151651,151650,1,0,1,0,1,0,1,0,1,111.032166,116677,145471,145470,1,0,1,0,1,0,1,0,1,5.032671,8388771,21,19,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.833733,19769062,13345816,808242,12537574,513601,7947577,25761,7921816,4076208,3845579,1,3845578,6291827,7340686,0,147,384541751,0,76521953,41945286,0,519788344,5.081775045755492,19246934,16719460,33633135,2.8172391468095035,2.447284186952354,5.264523333761858,6.487330923417005,0.6418769955,10.941313096875,440.68716417262505,133.4207586,53.58346425599999,39.32416992,61.574466527999995,739.5313365735001,0,0,0,0,0,0,0,0,0,0,0,0,
IS,MAA,b,383612766.0,0,0,350849309,345950610,0,0,0,0,32759539,696799919,3991001,0,0,346858308,0,0,0,0,0,0,0,0,0,0,0,0,0,39.202832,6261418,554533,423450,131083,102876,28207,28197,10,0,10,0,10,127.571136,138517,123630,123605,25,5,20,16,4,0,4,0,4,117.724125,123041,139103,139089,14,0,14,11,3,0,3,0,3,107.730328,125076,137070,137056,14,1,13,9,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.901953,7126996,886134,754903,131231,100405,30829,28639,2190,44,2115,3,2112,6291829,7340686,0,147,83310121,0,9496952,8407288,0,117993741,5.34652042155785,35774843,33238779,26504973,17.759079531462625,16.50014564116214,34.25922517262477,61.59457766178393,30.197048199999998,8.63084608875,122.66297471325001,105.20604108,99.59716291199999,78.177608208,118.151320864,532.425953866,0,0,0,0,0,0,0,0,0,0,0,0,
CG,BASE,c,337805158.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.043672,45635207,36682,36619,63,53,10,0,10,8,2,0,2,7.403379,435252,42475,19810,22665,20170,2495,0,2495,2494,1,0,1,7.35515,24568250,101032,100998,34,24,10,0,10,8,2,0,2,53.555335,1696654,34716715,402271,34314444,11793616,22516781,0,22516781,15017531,1,0,1,10.45946,284735,34034,8441,25593,17202,8390,0,8390,36,2174,0,2174,53.205211,557011,8691786,100584,8591202,2948484,5642718,0,5642718,3753864,2181,0,2181,6.374496,302804,15969,1031,14938,4783,5470,0,5470,54,5,0,5,7.664196,91900,1859,1848,11,0,4,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.014855,75508876,43742385,697215,43045170,14833139,28208219,0,28208219,18772281,4657,10,4647,274620523,2062785,0,361923359,868445999,0,186793675,2478517,0,2427429797,34.16824457698568,22845605,149239,1399810,12.878703692540007,0.08413017997864264,12.96283387251865,93.9125049076219,1.580378655,0.495248289375,117.58479327412502,5.8479684,63.60216431999999,0.351010128,39.367172928,227.24835733950002,0,0,0,0,0,0,0,0,0,0,0,0,
CG,MAA,c,175709320.0,117165955,0,25286418,152133223,11371059,0,90582553,0,20878699,396539208,47038269,0,0,95414104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.734375,18,59,0,59,0,59,0,59,20,39,2,37,0,2,2,0,2,0,2,0,2,0,2,0,2,27.400252,301270,332392,209288,123104,46286,67469,1155,66314,3356,31,0,31,47.377856,24015,201226,88870,112356,19034,93321,18446,74875,9386,4649,9,4640,14.614314,102475,122716,56302,66414,18706,41566,29,41537,15,4638,0,4638,24.697198,342035,240709,129437,111272,42352,59160,9141,50019,48,37,4,33,26.400525,56214,37557,28174,9383,4869,4511,4500,11,3,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.564603,898110,893123,482666,410457,134513,231685,33904,197781,11694,227,23,204,3151696,1613942,0,677636,41093739,0,3286547,232679,0,58685921,1.5962699093737827,22814677,144596,304927,24.726081159769702,0.15671019280168025,24.88279135257138,98.67187867838847,16.30283735,0.114594226875,61.354326482625005,1.32355092,63.516060767999996,0.34008979199999995,39.306275376,165.9548975655,0,0,0,0,0,0,0,0,0,0,0,0,
